location,tasks,actual_overdue_rate,mean_predicted_risk
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 3>RM.01.161,1,0.0,0.3687446819149422
QC & BC(A)R>ITP 01 Structural>Block 3>3rd Floor Plan>Precast Walls>Walls Area A3,4,0.25,0.361680970759459
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>2nd Floor Plan>Area 2>RM.02.249,1,0.0,0.3596234922976161
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Stairs>19-L1-03 Stair 3,2,0.0,0.35820566845632934
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-55 Office 15,1,0.0,0.3567310589969428
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Conference Rooms,1,0.0,0.3462516675285432
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 1>RM.01.110,1,0.0,0.339455246310223
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Conference Rooms>19-L3-09 Conference Room,1,0.0,0.3319764743716424
QC & BC(A)R>ITP 01 Structural>Block 3,7,0.0,0.3309117837402268
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>WC's & Shower Rooms>19-L3-28 Female Toilet,1,0.0,0.3302169061308364
JPC Project Management>Site Management>Daily Site Diary,2,0.0,0.3298043323656407
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Stairs,6,0.16666666666666666,0.32754625427163525
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>19-L2-37 Micro Investigation Lab,2,0.5,0.32661843274535196
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Offices>19-L1-13 Open office,2,0.0,0.32204754491423665
QC & BC(A)R>ITP 01 Structural>Block 3>Basement Plan,3,0.0,0.3219638754691381
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Corridors>19-L2-18 Corridor,1,0.0,0.3207958582548347
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 1>1st Floor Plan>Common Areas>R.01.143 Corridor,1,0.0,0.320583971059253
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 2>2nd Floor Plan>Rooms>R.02.209,1,0.0,0.3160059010878207
Quality Control & BC(A)R>ITP 02 Architectural>1st Floor Plan>Stairs>19-L1-03 Stair 3W,1,0.0,0.3145773981280351
QC & BC(A)R>ITP 01 Structural>Block 3>3rd Floor Plan>Precast Walls>Walls Area A2,1,0.0,0.3112302108395363
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>19-L3-34 Plant Room,10,0.1,0.30291129548519224
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Goods Lifts,1,0.0,0.3010686423666143
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Corridors>19-L2-57 Corridor,1,0.0,0.3006748990020859
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 3,1,0.0,0.2993244769651432
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan>Precast Walls>Walls Area A2,3,0.0,0.294127024467803
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Conference Rooms>19-L3-13 Conf 3,2,0.0,0.29029224015595556
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 1,1,0.0,0.2901282000238043
Quality Control>ITP 02 Architectural>Level 00  Ground Floor>Pool Area Facilities>Male Shower,3,0.0,0.2862385011566173
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Stairs,1,0.0,0.284264656702702
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>19-L3-40 Data Room,1,0.0,0.2801908985984417
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices,3,0.0,0.2787453546285857
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>19-L3-14 Telepresence Room,3,0.0,0.26852938972849083
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-07 Office 7,2,0.0,0.26818491080934137
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 1>RM.01.112,1,0.0,0.2668028220085176
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Corridors>19-L3-17 Corridor,2,0.0,0.2545878951193559
QC & BC(A)R>ITP 01 Structural>Block 3>3rd Floor Plan>Precast Walls>Walls Area A1,4,0.0,0.25128993778373754
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Conference Rooms>19-L3-12 Conf 2,1,0.0,0.2489424579123093
Site Logistics Plan,7,0.0,0.24136170793639206
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>1st Floor Plan>Area 3,1,0.0,0.2354556976577852
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-01 Office 1,1,0.0,0.2331941491347621
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Lobbies>19-L3-59 Boardroom Lobby,2,0.0,0.2331941491347621
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-06 Office 6,1,0.0,0.2331941491347621
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan,7,0.14285714285714285,0.23228771708459858
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Corridors>19-L3-60 Corridor,2,0.0,0.22853771718352583
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Corridors>19-L2-22 Corridor,2,0.0,0.2246432181390061
QC & BC(A)R>ITP 01 Structural,4,0.5,0.22033945840239594
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Stairs>19-L1-02 Stair 2,1,0.0,0.2179229277889002
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>4th Floor Plan>Area 2,1,0.0,0.2158662167324521
Quality Control & BC(A)R,4,0.25,0.2068889124999867
Quality Control & BC(A)R>ITP 01 Civil & Structural,1,0.0,0.205295442613554
QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan>Precast Slabs>Area A3,1,0.0,0.1969546625479325
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>19-L3-42 Plant Room 2,5,0.0,0.19211076127898025
QC & BC(A)R>ITP 01 Structural>Block 4>1st Floor Plan,1,0.0,0.1870252420405833
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-04 Office 4,1,0.0,0.1805252545988909
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-03 Office 3,1,0.0,0.1770194379526845
QC & BC(A)R>ITP 01 Structural>Block 1>Ground Floor Plan,7,0.0,0.17165622440292042
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-53 Office 13,1,0.0,0.1668765089080205
1335 - Adare Manor GAB,9,0.0,0.16393623366725002
Quality Control & BC(A)R>ITP 02 Architectural>2nd Floor Plan>Stores,2,0.0,0.16318929636614368
Quality Control>ITP 02 Architectural>LV -01 Basement,2,0.0,0.1618327632624249
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-49 Office 9,2,0.0,0.16164230595329376
QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan>Precast Walls>Walls Area A3,1,0.0,0.1588427003051018
QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>3rd Floor Plan>Area 2,5,0.2,0.15826870086621336
Quality Control & BC(A)R>ITP 01 Civil & Structural>ESB Substation,2,0.0,0.15591267741523332
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Offices>19-L3-56- Office 16,2,0.0,0.1429434693582891
QC & BC(A)R>ITP 01 Structural>Block 2>2nd Floor Plan,1,0.0,0.1325472204028278
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Stairs>Stair at Goods Lift,2,0.0,0.12596612825763762
QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan>Precast Walls>Walls Area A2,2,0.0,0.12233921925507175
Quality Control & BC(A)R>ITP 02 Architectural>Block B,1,0.0,0.1101829306478625
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>Corridors>19-L3-35 Corridor,2,0.0,0.09860776321779235
Quality Control & BC(A)R>ITP 02 Architectural>3rd Floor Plan>19-L3-36 Electrical Room,1,0.0,0.0980692415256783
QC & BC(A)R>ITP 01 Structural>Block 3>3rd Floor Plan>Precast Slabs>Area A1,1,0.0,0.0955445969080238
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan>Precast Walls>Walls Area A1,2,0.0,0.0894910712533684
QC & BC(A)R>ITP 01 Structural>Block 3>Ground Floor Plan,9,0.1111111111111111,0.08878937029912717
QC & BC(A)R>ITP 01 Structural>Block 3>2nd Floor Plan>Precast Slabs>Area A2,1,0.0,0.0843675781586425
QC & BC(A)R>ITP 01 Structural>Block 3>1st Floor Plan>Precast Walls,2,0.0,0.07455617317377469
